time,user_id,username,text,retweets,favorites,tweet_hashtags,location,user_id_str
2020-04-09 20:08:49,348009769,EclipseLtg,easy install service competitively priced garage series offers highly efficient light right space security needed,0,0,#led #parkinggarage,"schiller park, il",348009769
2020-04-09 10:46:56,155083438,D_Stix,acros classic chrome film simulation rainy day,0,0,#myfujifilmlegacy #fujilove #fujixmoment #parkinggarage #fujifilmxpro3 #23mmf2 #weathersealed #straightoutofcamera #noedit #streetlife #rainyday #rain,the big to ( toronto),155083438
2020-04-09 03:33:20,68103188,ikhsanmufti,stay home,0,0,#stayhome #stayhome #parkinggarage #covid19 #kredithondajakarta #kredithondabandung #hondapondokindah #hondamobilioindonesia #hargahondajakarta #hondacivicsi #hondagrom #hondabriobandung #hondalove,"üt: -6.181508,106.678629",68103188
2020-04-08 01:57:22,18338324,heatherpeno,oh thought errybody got free gets  success  human health concern,0,0,#marshal #slipperystairs #parkinggarage,stateless,18338324
2020-04-07 17:34:39,51231633,hawckish,three    ,0,0,#parking #parkinggarage #street #streetphotography #documentaryphotography #architecturephotography #architecture #iamstreet #street_avengers #street_photo #streetphotographer #miami #miamiarchitecture,south florida,51231633
2020-04-07 12:00:13,23447937,brucekgreen,playing filters shot empty parking garage,0,0,#hyperspektiv #gerbergear #hellotrouble #knives #parkinggarage #gear #tools #edc #knife,texas,23447937
2020-04-07 11:56:25,23447937,brucekgreen,playing filters  photo taken empty parking garage,1,0,#hyperspektiv #crkt #hissatsu #knives #knife #edc #parkinggarage #gear #tools #fun,texas,23447937
2020-04-04 19:01:04,1072263315374661632,realmanitobawo1,manitoba gorgeous women around bit chilly parking garage shooting jj great way keep blood warm,0,2,#fromthearchives #brunette #reddress #blackheels #parkinggarage #parkade #longlegs #sultry #slay,"winnipeg, mb",1072263315374661632
2020-04-04 06:47:47,3376869375,CurbFlip,rv vanlifers curbflip thinking safe corona virus free,0,0,#parking #parkinglot #parkinggarage #parkingfail #parkingspot #parkinglots #parkinglotpimpin #parkingspace #parkingticket,,3376869375
2020-04-02 19:00:52,1240425197959774208,BiehlPhoto,camera sony a7rii lens canon ef 2470mm f28l iso 16000 focal length 35mm shutter 1125 fstop f28 location 10th state parking garage erie pa model dylan carpin,0,1,#sony #a7rii #pa #pennsylvania #eriepa #erieparkingauthority #parkinggarage #sonyshooters #biehlphoto,"union city, pa",1240425197959774208
2020-04-02 10:13:16,4669790773,anubis15EBAY,check awesome amazing stores tons cool stuff store links bio,0,0,#vintage #antiques #midcentury #collectibles #toys #etsy #ebay #micromachines #micromachine #carwash #parkinggarage,,4669790773
2020-03-31 23:29:09,348441773,Reconology,11 unique car parks around world,0,0,#parkingdeck #parkinggarage,"greenville, south carolina",348441773
2020-03-30 22:20:09,978651409095806976,JoeSaxBoston,little melodic improv cool spot great acoustics recently found shown getting kicked security stopping video,0,0,#parkinggarage #sax #saxophone,,978651409095806976
2020-03-30 13:36:25,24729646,Eric_Brazier, lights feather furrow ,1,1,#thedailymobile #photography #cars #facesinplaces #furrowedbrow #headlights #lightplay #parkinggarage #shadowplay #shadows #wings,"toronto, canada",24729646
2020-03-30 11:50:57,1244330086175772673,BrittSandy1,btw hate parking garages,0,0,#parkinggarage #shaky #dark,"stuarts draft, va",1244330086175772673
2020-03-29 19:17:04,15329881,mopegdan,old school rolls royce ridge brooklyn,0,1,#bayridgebrooklyn #newyork #rollsroyce #parkinggarage #automotivephotography,"üt: 40.5896566,-74.4274456",15329881
2020-03-27 18:59:26,361446348,emily_nicole11,covid19 stop getting tan,0,6,#parkinggarage,"midtown, houston",361446348
2020-03-27 16:05:10,250139312,IRISltd,hangtags designed keep life organized whether running event want prioritize parking covered,0,0,#parking #hangtag #eventprofs #security #parkinggarage,"fleetwood, pa",250139312
2020-03-26 20:09:35,52796858,littleonline, hearts nearly exploded early march ncbased couple received disappointing news dream wedding canceled due needed quick backup plan empty space good lighting free charge,0,0,#coronavirus #parkinggarage,worldwide,52796858
2020-03-26 14:10:38,742787588742860800,CDCPros,snowy winter building s parking garage needs tlc call us today book ahead free parking garage assessment ready serve condo community,1,1,#parkinggarage #waterproofing #condo #condoimprovement #gtacondo,"mississauga, ontario",742787588742860800
2020-03-25 20:18:41,1126284560839380995,cdbgfx,another one  rubylamorena ,0,0,#cdbgfx #cdbgfx5 #cdbgfxfit #cdbgfxexperience #shoottokill #fashion #parkinggarage #ftbragg #fayettevillenc,"fayetteville, nc",1126284560839380995
2020-03-24 12:50:08,611889243,DonleysInc, quick update donley  concrete group  progress coliseum parking garage project north charleston sc,0,1,#concrete #parkinggarage #construction,cleveland ohio,611889243
